Candidate|Sponsor|Trial Phase|Institution|Funding
Inactivated vaccine|Wuhan Institute of Biological Products; China National Pharmaceutical Group (Sinopharm)|Phase 3|Henan Provincial Center for Disease Control and Prevention|Ministry of Science and Technology, China
CoronaVac|Sinovac|Phase 3|Sinovac Research and Development Co., Ltd.|Sinovac Research and Development Co., Ltd.
Bacillus Calmette-Guerin (BCG) live-attenuated vaccine|University of Melbourne and Murdoch Children’s Research Institute; Radboud University Medical Center; Faustman Lab at Massachusetts General Hospital|Phase 2/3|University of Melbourne and Murdoch Children’s Research Institute; Radboud University Medical Center; Faustman Lab at Massachusetts General Hospital|Murdoch Children’s Research Institute; UMC Utrecht
AZD1222|The University of Oxford; AstraZeneca; IQVIA|Phase 2/3|The University of Oxford, the Jenner Institute|Operation Warp Speed; UK Ministry of Health; The University of Oxford; BARDA
mRNA-1273|Moderna|Phase 2|Kaiser Permanente Washington Health Research Institute|Operation Warp Speed; NIAID, BARDA ($483 million)
Ad5-nCoV|CanSino Biologics|Phase 2|Tongji Hospital; Wuhan, China|CanSino Biologics
Adjuvant recombinant vaccine candidate|Anhui Zhifei Longcom Biopharmaceutical, Institute of Microbiology of the Chinese Academy of Sciences|Phase 2||
BNT162|Pfizer, BioNTech|Phase 1/2|Multiple study sites in Europe and North America|Pfizer; BioNTech
BBIBP-CorV|Beijing Institute of Biological Products; China National Pharmaceutical Group (Sinopharm)|Phase 1/2|Henan Provincial Center for Disease Control and Prevention|Ministry of Science and Technology, China
GX-19|Genexine|Phase 1/2||GenexineGenexine
Gam-COVID-Vac|Gamaleya Research Institute, Acellena Contract Drug Research and Development|Phase 1/2|Various|Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation
Self-amplifying RNA vaccine|Imperial College London|Phase 1/2|Imperial College London|UK Secretary of State for Health; UK Secretary of State for Business, Energy and Industrial Strategy
LUNAR-COV19|Arcturus Therapeutics and Duke-NUS Medical School|Phase 1/2|Duke-NUS Medical School, Singapore|Arcturus
ZyCoV-D|Zydus Cadila|Phase 1/2|Zydus Cadila|
INO-4800|Inovio Pharmaceuticals|Phase 1|Center for Pharmaceutical Research, Kansas City. Mo.; University of Pennsylvania, Philadelphia|Inovio Pharmaceuticals
mRNA-based vaccine|CureVac|Phase 1|CureVac|CureVac; German federal government
SCB-2019|GlaxoSmithKline, Sanofi, Clover Biopharmaceuticals, Dynavax and Xiamen Innovax|Phase 1|Linear Clinical Research (Australia)|CEPI
COVAX-19|Vaxine Pty Ltd.|Phase 1|Royal Adelaide Hospital|NIAID
NVX-CoV2373|Novavax|Phase 1|Novavax|Novavax, CEPI, Department of Defense ($60 million)
Plant-based adjutant COVID-19 vaccine candidate|Medicago; GSK; Dynavax|Phase 1|Medicago|Medicago
Molecular clamp vaccine|CSL; The University of Queensland|Phase 1||CEPI; CSL
Covaxin|Bharat Biotech; National Institute of Virology|Phase 1||
bacTRL-Spike|Symvivo|Pre-clinical|Symvivo Corporation|Symvivo Corporation
PittCoVacc|UPMC/University of Pittsburgh School of Medicine|Pre-clinical|University of Pittsburgh|CEPI
Measles vector vaccine|University of Pittsburgh’s Center for Vaccine Research|Pre-clinical|University of Pittsburgh; Themis Biosciences; Institut Pasteur|Merck
Ii-Key peptide COVID-19 vaccine|Generex Biotechnology|Pre-clinical|Generex|Generex
Recombinant vaccine|Vaxart|Pre-clinical|Vaxart|no information
LineaDNA|Takis Biotech|Pre-clinical|Takis Biotech|Takis Biotech
Ad26.COV2-S|Johnson & Johnson|Pre-clinical|Johnson & Johnson|Operation Warp Speed; Johnson & Johnson; BARDA
AdCOVID|Altimmune|Pre-clinical|University of Alabama at Birmingham|Altimmune
T-COVIDTM|Altimmune|Pre-clinical||Altimmune
Protein subunit vaccine|University of Saskatchewan Vaccine and Infectious Disease Organization-International Vaccine Centre|Pre-clinical|University of Saskatchewan Vaccine and Infectious Disease Organization-International Vaccine Centre|no information
Recombinant vesicular stomatitis virus (rVSV) vaccine|Merck; IAVI|Pre-clinical||BARDA
Adenovirus-based vaccine|ImmunityBio; NantKwest|Pre-clinical||Operation Warp Speed
AAVCOVID|Massachusetts Eye and Ear; Massachusetts General Hospital; University of Pennsylvania|Pre-clinical||Wyc Grousbeck; Emilia Fazzalari
Recombinant vaccine|Sanofi, Translate Bio|Pre-clinical||BARDA
HaloVax|Voltron Therapeutics, Inc.; Hoth Therapeutics, Inc.|Pre-clinical|MGH Vaccine and Immunotherapy Center|
mRNA-based vaccine|Chulalongkorn University’s Center of Excellence in Vaccine Research and Development|Pre-clinical||
HDT-301|University of Washington; National Institutes of Health Rocky Mountain Laboratories; HDT Bio Corp|Pre-clinical||University of Washington; National Institutes of Health Rocky Mountain Laboratories; HDT Bio Corp
mRNA lipid nanoparticle (mRNA-LNP) vaccine|CanSino Biologics, Precision NanoSystems|Early research||
Adenovirus-based vaccine|ReiThera; Leukocare; Univercells|Early research||
gp96-based vaccine|Heat Biologics|Early research|University of Miami Miller School of Medicine|
